pLeave,pArrive,pAttack,alpha,mu0,K,maxI,maxT,maxD,maxH,hmin,hslope,repair,h_max_c,h_base_c,h_max_a,h_base_a,file
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.39,1,1,0.5601,runs/stressL0.030000A0.070000K0.001000r0.000000rep0.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.39,1,1,0.5601,runs/stressL0.030000A0.070000K0.001000r0.000000rep1.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.39,1,1,0.5596,runs/stressL0.030000A0.070000K0.001000r0.000000rep2.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3901,1,1,0.5609,runs/stressL0.030000A0.070000K0.001000r0.000000rep3.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.39,1,1,0.5613,runs/stressL0.030000A0.070000K0.001000r0.000000rep4.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3901,1,1,0.5604,runs/stressL0.030000A0.070000K0.001000r0.000000rep5.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.39,1,1,0.5616,runs/stressL0.030000A0.070000K0.001000r0.000000rep6.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.39,1,1,0.5597,runs/stressL0.030000A0.070000K0.001000r0.000000rep7.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3901,1,1,0.5611,runs/stressL0.030000A0.070000K0.001000r0.000000rep8.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.39,1,1,0.561,runs/stressL0.030000A0.070000K0.001000r0.000000rep9.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5216,1,1,0.4017,runs/stressL0.030000A0.070000K0.001000r1.000000rep0.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5237,1,1,0.4015,runs/stressL0.030000A0.070000K0.001000r1.000000rep1.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5216,1,1,0.4018,runs/stressL0.030000A0.070000K0.001000r1.000000rep2.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5237,1,1,0.4024,runs/stressL0.030000A0.070000K0.001000r1.000000rep3.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5174,1,1,0.4024,runs/stressL0.030000A0.070000K0.001000r1.000000rep4.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5244,1,1,0.4018,runs/stressL0.030000A0.070000K0.001000r1.000000rep5.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5223,1,1,0.4019,runs/stressL0.030000A0.070000K0.001000r1.000000rep6.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5174,1,1,0.4021,runs/stressL0.030000A0.070000K0.001000r1.000000rep7.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5251,1,1,0.4023,runs/stressL0.030000A0.070000K0.001000r1.000000rep8.txt
0.03,0.07,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.5244,1,1,0.4025,runs/stressL0.030000A0.070000K0.001000r1.000000rep9.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3302,1,1,0.3933,runs/stressL0.050000A0.050000K0.001000r0.000000rep0.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3302,1,1,0.3932,runs/stressL0.050000A0.050000K0.001000r0.000000rep1.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.33,1,1,0.3934,runs/stressL0.050000A0.050000K0.001000r0.000000rep2.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3302,1,1,0.3933,runs/stressL0.050000A0.050000K0.001000r0.000000rep3.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.33,1,1,0.3939,runs/stressL0.050000A0.050000K0.001000r0.000000rep4.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.33,1,1,0.3929,runs/stressL0.050000A0.050000K0.001000r0.000000rep5.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.33,1,1,0.3933,runs/stressL0.050000A0.050000K0.001000r0.000000rep6.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.33,1,1,0.3936,runs/stressL0.050000A0.050000K0.001000r0.000000rep7.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.33,1,1,0.3934,runs/stressL0.050000A0.050000K0.001000r0.000000rep8.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.33,1,1,0.3929,runs/stressL0.050000A0.050000K0.001000r0.000000rep9.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4116,runs/stressL0.050000A0.050000K0.001000r1.000000rep0.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4231,runs/stressL0.050000A0.050000K0.001000r1.000000rep1.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4226,runs/stressL0.050000A0.050000K0.001000r1.000000rep2.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4178,runs/stressL0.050000A0.050000K0.001000r1.000000rep3.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4206,runs/stressL0.050000A0.050000K0.001000r1.000000rep4.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4157,runs/stressL0.050000A0.050000K0.001000r1.000000rep5.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4133,runs/stressL0.050000A0.050000K0.001000r1.000000rep6.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4213,runs/stressL0.050000A0.050000K0.001000r1.000000rep7.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4252,runs/stressL0.050000A0.050000K0.001000r1.000000rep8.txt
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.4218,runs/stressL0.050000A0.050000K0.001000r1.000000rep9.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3203,runs/stressL0.070000A0.030000K0.001000r0.000000rep0.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3201,runs/stressL0.070000A0.030000K0.001000r0.000000rep1.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.32,runs/stressL0.070000A0.030000K0.001000r0.000000rep2.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3205,runs/stressL0.070000A0.030000K0.001000r0.000000rep3.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3202,runs/stressL0.070000A0.030000K0.001000r0.000000rep4.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3204,runs/stressL0.070000A0.030000K0.001000r0.000000rep5.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3206,runs/stressL0.070000A0.030000K0.001000r0.000000rep6.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3202,runs/stressL0.070000A0.030000K0.001000r0.000000rep7.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3203,runs/stressL0.070000A0.030000K0.001000r0.000000rep8.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.31,1,1,0.3202,runs/stressL0.070000A0.030000K0.001000r0.000000rep9.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep0.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep1.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep2.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep3.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep4.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep5.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep6.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep7.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep8.txt
0.07,0.03,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1,0.52,1,1,0.52,runs/stressL0.070000A0.030000K0.001000r1.000000rep9.txt
0.08,0.02,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3,1,0.82,0.3065,runs/stressL0.080000A0.020000K0.001000r0.000000rep0.txt
