pLeave,pArrive,pAttack,alpha,mu0,K,maxI,maxT,maxD,maxH,hmin,hslope,repair,h_max_c,h_base_c,h_max_a,h_base_a,max_damage,file,predDeaths,damageDeaths,bkgrndDeaths
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0,0.3301,1,1,0.393,871.93,stressL0.050000A0.050000K0.001000r0.000000rep0.txt,0.00260182,9.79886e-4,1.77693e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0.204082,0.4,1,1,0.3724,853.19,stressL0.050000A0.050000K0.001000r0.204082rep0.txt,0.00231293,0.00105735,1.75813e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0.408163,0.44,1,1,0.3507,835.58,stressL0.050000A0.050000K0.001000r0.408163rep0.txt,0.00221257,0.00109482,1.76928e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0.612245,0.4752,1,1,0.34,818.42,stressL0.050000A0.050000K0.001000r0.612245rep0.txt,0.00214406,0.00110329,1.77303e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,0.816327,0.5,1,1,0.3537,799.53,stressL0.050000A0.050000K0.001000r0.816327rep0.txt,0.0020968,0.00108187,1.77029e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1.02041,0.527,1,1,0.4379,781.22,stressL0.050000A0.050000K0.001000r1.020408rep0.txt,0.00204589,0.00108762,1.77738e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1.22449,0.547,1,1,0.549,763.25,stressL0.050000A0.050000K0.001000r1.224490rep0.txt,0.00199926,0.00107016,1.7733e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1.42857,0.5667,1,1,0.5656,745.38,stressL0.050000A0.050000K0.001000r1.428571rep0.txt,0.00195647,0.00106098,1.77438e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1.63265,0.5856,1,1,0.5801,726.97,stressL0.050000A0.050000K0.001000r1.632653rep0.txt,0.00192072,0.00104649,1.7744e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,1.83673,0.6,1,1,0.6,708.31,stressL0.050000A0.050000K0.001000r1.836735rep0.txt,0.0018903,0.00102812,1.77557e-4
0.05,0.05,0.5,1,0.002,0.001,100000,50,998,100,0.3,20,10,1,1,1,1,0,stressL0.050000A0.050000K0.001000r10.000000rep0.txt,0,0,1.44906e-4
